# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  161       6.211038369419e-10       1.355153266261e-13      -5.941428690139e-12       1.191657500632e-15       2.787386704452e-12       5.069249733517e-13      -3.180402098009e-15 
  162       6.250467452731e-10       1.343414770653e-13      -5.909395511242e-12       1.207923729424e-15       2.737941237616e-12       4.997564808355e-13      -3.115145960570e-15 
  163       6.289496975992e-10       1.331306486262e-13      -5.873854194465e-12       1.224327339180e-15       2.689532736861e-12       4.927215261132e-13      -3.050839152706e-15 
  164       6.328116577541e-10       1.318850823393e-13      -5.834783706287e-12       1.240868362329e-15       2.642162289446e-12       4.858200298008e-13      -2.987467542137e-15 
  165       6.366315733431e-10       1.306071290077e-13      -5.792164978880e-12       1.257546803364e-15       2.595828063341e-12       4.790514826486e-13      -2.925013034763e-15 
  166       6.404083754590e-10       1.292992507127e-13      -5.745980949073e-12       1.274362638348e-15       2.550525243280e-12       4.724149361228e-13      -2.863453492251e-15 
  167       6.441409783982e-10       1.279640223190e-13      -5.696216597324e-12       1.291315814425e-15       2.506245966807e-12       4.659089929870e-13      -2.802762649608e-15 
  168       6.478282793773e-10       1.266041329810e-13      -5.642858986686e-12       1.308406249330e-15       2.462979260327e-12       4.595317978840e-13      -2.742910032768e-15 
  169       6.514691582487e-10       1.252223876474e-13      -5.585897301777e-12       1.325633830898e-15       2.420710975160e-12       4.532810279170e-13      -2.683860876168e-15 
  170       6.550624772177e-10       1.238217085677e-13      -5.525322887744e-12       1.342998416570e-15       2.379423723589e-12       4.471538832317e-13      -2.625576040331e-15 
  171       6.586070805578e-10       1.224051367971e-13      -5.461129289235e-12       1.360499832910e-15       2.339096814909e-12       4.411470775974e-13      -2.568011929442e-15 
